Gene_A	Gene_B	correlation
AT1G27730	AT4G17490	0.991247163825007
AT2G20180	AT3G59060	0.963930315728677
AT2G31380	AT4G18390	0.962271804079837
AT1G14920	AT4G17460	0.961921990341528
AT3G47620	AT4G18390	0.954326312926897
AT1G14440	AT3G50890	0.943752459179346
AT4G24660	AT5G15210	0.943443634403179
AT2G46270	AT4G01120	0.941388119363729
AT1G14440	AT5G65410	0.940912569613056
AT1G67970	AT3G22830	0.938342919164798
AT2G40140	AT5G37260	0.932573265383748
AT1G27730	AT1G80840	0.931915210592059
AT1G56170	AT5G47640	0.931449327408539
AT1G14920	AT2G41940	0.921525225062428
AT1G14920	AT5G60970	0.912039758188044
AT4G16780	AT5G37260	0.911258276880144
AT1G56170	AT5G12840	0.910442140562248
AT3G15210	AT3G47620	0.910232912427652
AT4G36540	AT5G60970	0.90915603137042
AT2G22770	AT2G33480	0.906688333972612
AT2G40140	AT5G24590	0.902562468354763
AT1G54830	AT2G34720	0.90226230412077
AT3G24520	AT3G47620	0.901840801885823
AT1G69120	AT5G60910	0.901747710623837
AT1G47870	AT5G22220	0.899421855511735
AT1G08970	AT5G15840	0.897423299012438
AT1G14920	AT1G19700	0.896922669567945
AT1G10240	AT1G54060	0.896703088242609
AT1G69120	AT5G61850	0.896251540663399
AT1G14440	AT4G24660	0.895934793842839
AT1G30500	AT5G38140	0.895626822170413
AT1G25560	AT3G49940	0.891616684300301
AT1G67970	AT5G16820	0.891098756352962
AT2G18350	AT5G39760	0.88950946553576
AT3G50890	AT5G65410	0.88935752855506
AT2G36270	AT4G27410	0.887170975896611
AT1G27730	AT1G28370	0.887102002141238
AT1G54330	AT5G22380	0.886750030898332
AT4G24660	AT5G65410	0.882380886505219
AT1G28520	AT5G43840	0.882058595666324
AT4G00480	AT5G40330	0.880733480478916
AT1G09770	AT5G63420	0.87941629689916
AT1G28370	AT1G80840	0.879353628965754
AT3G28920	AT5G15210	0.875176676221572
AT1G53170	AT3G02150	0.874353191821959
AT1G08970	AT5G12840	0.873995884492974
AT1G27730	AT3G55980	0.872742736801571
