gene	community
AT1G10240	1
AT1G54060	1
AT1G28520	2
AT5G43840	2
AT1G09770	3
AT5G63420	3
AT1G12610	4
AT4G34410	4
AT2G22430	5
AT5G65310	5
AT2G28550	6
AT5G57660	6
AT2G24840	7
AT5G48670	7
AT4G04890	8
AT4G21750	8
AT1G71930	9
AT4G36160	9
AT3G44460	10
AT4G34000	10
AT2G22770	11
AT2G33480	11
AT1G25560	11
AT3G49940	11
AT5G24800	11
AT5G49450	11
AT4G35550	11
AT5G13180	11
AT1G56010	11
AT5G28770	11
AT5G02840	11
AT5G46880	11
AT5G06950	11
AT5G06960	11
AT1G68840	11
AT2G04038	11
AT4G17785	11
AT4G36620	11
AT5G56860	11
AT5G39860	11
AT3G54620	11
AT4G09460	11
AT1G13600	11
AT3G29035	11
AT5G50820	11
AT3G62420	11
AT4G22700	11
AT4G34680	11
AT5G35900	11
AT1G17590	11
AT2G46310	12
AT4G11140	12
AT1G01060	13
AT3G02380	13
AT1G13260	14
AT1G19220	14
AT1G19510	14
AT3G14020	14
AT1G76890	15
AT3G24490	15
AT1G53230	16
AT5G08330	16
AT1G26960	17
AT4G31270	17
AT1G27730	18
AT4G17490	18
AT2G20180	18
AT3G59060	18
AT1G80840	18
AT1G28370	18
AT3G55980	18
AT5G11260	18
AT1G71030	18
AT4G32980	18
AT1G18570	18
AT2G38470	18
AT5G11060	18
AT2G43010	18
AT3G03450	18
AT5G67110	18
AT2G25000	18
AT4G01720	18
AT1G32640	18
AT2G01570	18
AT5G04150	18
AT1G68880	18
AT2G28160	18
AT1G73830	18
AT5G60890	18
AT5G47230	18
AT1G06040	18
AT3G56980	18
AT5G59820	18
AT2G25900	19
AT3G19860	19
AT3G49850	19
AT4G14410	19
AT5G54680	19
AT1G49950	19
AT5G67580	19
AT3G47640	19
AT3G57920	19
AT4G37540	19
AT5G65210	19
AT3G01470	19
AT4G14770	19
AT5G39660	19
AT1G01010	19
AT1G14440	20
AT3G50890	20
AT4G24660	20
AT5G15210	20
AT5G65410	20
AT3G28920	20
AT1G75240	20
AT5G42780	20
AT1G79430	21
AT4G00150	21
AT1G47870	22
AT5G22220	22
AT2G36010	22
AT5G02470	22
AT3G09370	22
AT1G59530	23
AT5G61620	23
AT1G69120	24
AT5G60910	24
AT5G61850	24
AT2G45660	24
AT3G57390	24
AT5G13790	24
AT5G22290	24
AT4G36920	24
AT2G14210	24
AT3G57230	24
AT2G22540	24
AT5G02030	24
AT2G03710	24
AT3G54340	24
AT3G58780	24
AT1G26310	24
AT2G47190	24
AT3G02310	24
AT2G22630	24
AT1G02220	25
AT5G23090	25
AT2G36270	26
AT4G27410	26
AT3G19290	26
AT1G01720	26
AT1G77450	26
AT5G17490	26
AT1G49720	26
AT5G05410	26
AT1G52890	26
AT5G54230	26
AT5G35550	26
AT3G27010	26
AT3G24140	27
AT3G25710	27
AT1G14350	27
AT1G12860	27
AT1G56170	28
AT5G47640	28
AT5G12840	28
AT1G54830	28
AT2G34720	28
AT1G08970	28
AT5G15840	28
AT3G21175	28
AT4G17570	28
AT1G42990	28
AT3G10800	28
AT3G20910	28
AT2G47810	28
AT4G34990	28
AT2G40950	28
AT2G04890	28
AT1G69560	28
AT5G41090	28
AT1G70920	28
AT4G37790	28
AT4G24470	28
AT3G44350	28
AT1G43160	28
AT4G01550	28
AT1G51600	28
AT2G31180	28
AT2G22800	28
AT5G06510	28
AT2G38880	28
AT5G09330	28
AT1G54160	28
AT2G17770	29
AT4G35900	29
AT1G14920	30
AT4G17460	30
AT2G41940	30
AT5G60970	30
AT4G36540	30
AT1G19700	30
AT5G16560	30
AT5G25220	30
AT3G60390	30
AT5G47370	30
AT1G32540	30
AT2G20570	30
AT1G35560	30
AT1G65620	30
AT3G16770	30
AT1G58100	30
AT4G34610	31
AT5G66300	31
AT1G67710	32
AT5G03790	32
AT3G50870	33
AT5G18560	33
AT1G30500	34
AT5G38140	34
AT1G68130	34
AT2G01940	34
AT4G14540	34
AT1G21970	34
AT2G17950	34
AT5G27910	34
AT1G05230	34
AT1G07980	34
AT5G47670	34
AT2G37060	34
AT5G46830	34
AT1G28360	34
AT5G39820	34
AT5G61420	34
AT3G18650	34
AT1G09030	34
AT3G01140	34
AT5G07690	34
AT1G28300	34
AT1G35515	34
AT2G13570	34
AT3G16870	35
AT4G17980	35
AT5G15850	36
AT1G09530	36
AT4G31800	36
AT3G17609	36
AT1G48000	36
AT1G75540	36
AT1G32330	37
AT1G46264	37
AT5G45710	37
AT3G06120	37
AT4G11660	37
AT3G51910	37
AT5G62020	37
AT2G42830	38
AT2G45650	38
AT1G77980	38
AT4G37940	38
AT1G24260	38
AT1G31630	38
AT1G65360	38
AT3G61910	38
AT5G62165	38
AT5G51870	38
AT1G73410	38
AT2G27110	38
AT3G27650	38
AT2G28610	38
AT5G15800	38
AT5G23260	38
AT4G33450	38
AT4G18960	38
AT3G23130	38
AT4G22950	38
AT5G15160	38
AT1G17950	38
AT1G56650	39
AT4G09820	39
AT1G28470	40
AT1G79180	40
AT1G63910	40
AT5G25160	41
AT5G42630	41
AT2G01760	42
AT4G00480	42
AT5G40330	42
AT5G53200	42
AT1G34310	42
AT4G23980	42
AT2G23290	42
AT3G50060	42
AT1G19850	42
AT4G32880	42
AT2G28350	42
AT5G60450	42
AT1G59750	42
AT2G46410	42
AT4G38620	42
AT2G37630	42
AT1G79840	42
AT2G18550	43
AT5G56110	43
AT2G46270	44
AT4G01120	44
AT1G67970	44
AT3G22830	44
AT5G16820	44
AT1G54330	44
AT5G22380	44
AT5G42520	44
AT5G03720	44
AT5G08130	44
AT5G11590	44
AT4G13980	44
AT5G17800	44
AT5G62000	44
AT2G33860	44
AT3G61830	44
AT4G18880	44
AT3G02990	44
AT1G23420	44
AT2G35940	45
AT2G23760	45
AT4G32040	45
AT1G70510	45
AT2G27220	45
AT1G75410	45
AT5G41410	45
AT1G23380	45
AT4G36870	45
AT2G31380	46
AT4G18390	46
AT3G47620	46
AT2G40140	46
AT5G37260	46
AT4G16780	46
AT3G15210	46
AT5G24590	46
AT3G24520	46
AT2G18350	46
AT5G39760	46
AT1G53170	46
AT3G02150	46
AT4G23750	46
AT5G53290	46
AT1G14685	46
AT2G46830	46
AT3G22170	46
AT4G02640	46
AT4G34590	46
AT1G22070	46
AT4G04450	46
AT2G44910	46
AT3G50700	46
AT3G61890	46
AT1G75520	46
AT5G12330	46
AT5G66350	46
AT5G06710	46
AT1G02340	46
AT2G45190	46
AT4G01500	46
AT3G15030	46
AT4G24240	46
AT4G13640	46
AT2G31070	46
AT1G30210	46
AT4G25470	46
AT5G17300	46
AT3G13540	46
AT2G01930	46
AT1G65910	46
AT1G14687	46
AT4G36260	46
AT1G20700	46
AT4G37740	46
AT4G36900	46
AT1G75390	46
AT1G30970	46
AT1G30490	46
AT2G02070	46
AT2G40470	46
AT3G04100	46
AT2G30130	46
AT5G62430	46
AT4G27330	46
