Gene_A	Gene_B	correlation
AT1G74310	AT2G20560	0.997761060720636
AT1G16030	AT4G26270	0.997717798147697
AT1G09200	AT5G59870	0.997322658730639
AT1G16030	AT1G52560	0.996730636231051
AT1G18590	AT2G14750	0.996403677232723
AT1G09200	AT5G10400	0.996167866501127
AT1G09200	AT5G65360	0.995755169409894
AT1G09200	AT4G40030	0.993687696448292
AT1G53540	AT4G25200	0.993256478782803
AT1G62390	AT2G04030	0.992747075064867
AT1G15440	AT1G63780	0.992701211260435
AT1G54050	AT1G74310	0.992280327526865
AT1G74310	AT4G12400	0.992226922391248
AT1G12000	AT4G38970	0.992143477325893
AT1G30070	AT4G23570	0.992106452408554
AT1G11660	AT5G58110	0.991906887029735
AT1G76300	AT4G03430	0.991779366636389
AT1G14980	AT3G07770	0.991765459172685
AT1G70580	AT4G37930	0.991738925343898
AT1G15420	AT5G60990	0.991708356042272
AT1G16030	AT1G62740	0.991300387418581
AT1G04980	AT4G16660	0.990877390785079
AT1G30070	AT3G12050	0.990844803186288
AT1G14320	AT3G55280	0.990326600177807
AT1G01940	AT2G21130	0.990325713776127
AT1G09340	AT1G43670	0.990224928071279
AT1G14320	AT3G23390	0.990156829016641
AT1G02730	AT4G15830	0.990102886655593
AT1G08130	AT2G21790	0.990057103788525
AT1G52560	AT4G25200	0.989950751204784
AT1G53540	AT3G46230	0.989760167285071
AT1G74310	AT5G48570	0.989723195968237
AT1G15950	AT3G19450	0.989606593581705
AT1G26910	AT3G06700	0.989501980498451
AT1G16030	AT4G25200	0.988975717685469
AT1G29150	AT5G56630	0.988949156505077
AT1G51680	AT3G55120	0.988766013665763
AT1G04980	AT3G62600	0.988740637300591
AT1G74310	AT5G51440	0.988709517158375
AT1G12900	AT4G38970	0.988262525971038
AT1G44900	AT4G02060	0.988164591523
AT1G74710	AT4G26900	0.987865164358295
AT1G32080	AT5G46800	0.987789641065993
AT1G14980	AT5G56500	0.987672078844186
AT1G14320	AT5G52650	0.987632477186417
AT1G07110	AT1G43670	0.987414324088802
