gene	community
AT1G67860	1
AT1G67865	1
AT1G51790	2
AT1G51800	2
AT1G61340	3
AT5G45630	3
AT4G27940	3
AT1G27385	4
AT3G26580	4
AT2G20920	4
AT1G50710	5
AT2G41350	5
AT5G40740	5
AT5G48520	5
AT2G32980	5
AT5G17620	5
AT5G38880	5
AT1G12370	6
AT5G24850	6
AT1G26170	7
AT4G21150	7
AT4G27640	7
AT5G56950	7
AT2G19480	7
AT1G12930	7
AT1G01050	8
AT4G01480	8
AT1G35140	9
AT5G57560	9
AT4G08950	9
AT1G76360	10
AT3G52870	10
AT5G05140	10
AT1G72060	11
AT5G06860	11
AT2G36380	11
AT1G78410	12
AT2G22880	12
AT1G01770	13
AT1G01780	13
AT3G55770	13
AT1G31580	14
AT5G06660	14
AT3G61100	14
AT2G03750	14
AT3G10720	14
AT1G17870	15
AT5G15250	15
AT1G19860	16
AT5G12440	16
AT1G32500	17
AT1G71070	17
AT1G05100	18
AT2G32510	18
AT1G78580	19
AT4G39770	19
AT4G12430	19
AT4G22590	19
AT1G53320	20
AT4G05330	20
AT1G14320	21
AT3G55280	21
AT3G23390	21
AT1G56070	21
AT1G26910	21
AT3G06700	21
AT5G52650	21
AT3G10610	21
AT5G08650	21
AT1G26880	21
AT2G32060	21
AT4G14320	21
AT4G10450	21
AT5G16130	21
AT1G18080	21
AT4G33865	21
AT1G18540	21
AT3G11510	21
AT1G48630	21
AT3G02560	21
AT2G01250	21
AT1G72370	21
AT1G77840	21
AT5G61170	21
AT1G12800	21
AT5G64140	21
AT3G04840	21
AT2G36620	21
AT3G18130	21
AT4G31700	21
AT1G35680	21
AT5G59850	21
AT3G05560	21
AT3G20050	21
AT1G62750	21
AT4G09320	21
AT1G02780	21
AT3G53020	21
AT1G17560	21
AT2G40010	21
AT3G60770	21
AT1G67430	21
AT3G52590	21
AT1G04270	21
AT2G39460	21
AT3G53890	21
AT4G11420	21
AT1G64880	21
AT5G56670	21
AT3G06980	21
AT2G47610	21
AT3G46040	21
AT4G15000	21
AT3G13920	21
AT5G56710	21
AT1G63660	21
AT5G22440	21
AT4G25630	21
AT1G16740	21
AT5G39740	21
AT3G05590	21
AT3G61110	21
AT1G71840	21
AT5G08180	21
AT1G77750	21
AT5G03850	21
AT1G18070	21
AT4G34110	21
AT4G29390	21
AT5G14460	21
AT3G22230	21
AT2G27710	21
AT5G47930	21
AT1G22780	21
AT3G58700	21
AT1G15810	21
AT1G71750	21
AT2G02970	21
AT4G10480	21
AT5G13650	21
AT1G69620	21
AT5G23740	21
AT4G00810	21
AT1G10490	21
AT3G16080	21
AT1G17880	21
AT5G07090	21
AT3G62870	21
AT1G67690	21
AT3G27110	21
AT1G04170	21
AT1G43170	21
AT1G33040	21
AT1G48830	21
AT4G29410	21
AT1G66580	21
AT5G10360	21
AT1G49410	21
AT3G13120	21
AT3G60245	21
AT4G20360	21
AT4G16720	21
AT3G44590	21
AT3G06680	21
AT1G03110	21
AT3G55160	21
AT4G00100	21
AT3G45640	21
AT1G29940	21
AT2G19740	21
AT3G12390	21
AT1G52300	21
AT3G49910	21
AT2G36170	21
AT4G01860	21
AT3G24830	21
AT1G08360	21
AT2G41840	21
AT5G61970	21
AT2G27530	21
AT3G18740	21
AT3G09200	21
AT3G49010	21
AT5G47010	21
AT2G43460	21
AT3G48930	21
AT5G08620	21
