Gene_A	Gene_B	correlation
AT3G47620	AT3G50700	0.9803742021149958
AT1G01060	AT3G02380	0.9748742925822901
AT1G01060	AT4G38960	0.9673964192916295
AT1G56170	AT3G10800	0.9655784771148638
AT1G01060	AT3G09600	0.9649595002380486
AT1G75240	AT3G50890	0.96023518288534
AT3G50060	AT5G67300	0.9526649809763443
AT1G30490	AT3G47620	0.9523731420707389
AT2G46310	AT4G23750	0.9521311077768966
AT1G01060	AT5G15850	0.947270109838332
AT1G12860	AT3G26744	0.9449983249548988
AT1G30500	AT3G47620	0.9411500766184566
AT3G02150	AT3G49940	0.9399980012709171
AT1G80840	AT4G31800	0.9376987028835965
AT2G23290	AT5G67300	0.9362691254453592
AT4G34590	AT5G49450	0.9360310981280168
AT1G43700	AT2G42380	0.9360295532429654
AT1G46264	AT2G26150	0.931260679725163
AT4G17695	AT5G65210	0.9295959126944339
AT1G77450	AT4G27410	0.9281104572465393
AT2G33480	AT3G02150	0.9278973125582686
AT2G25000	AT4G01720	0.9250137597360413
AT2G40950	AT3G10800	0.9249064304535488
AT2G27110	AT4G24470	0.9245812940211491
AT4G01250	AT4G24240	0.9234676188892376
AT1G14685	AT3G47620	0.9234308391761017
AT1G46264	AT4G11660	0.9219525185021691
AT1G46264	AT3G51910	0.9212128190275395
AT1G28360	AT5G39820	0.9206334153932605
AT2G22430	AT5G65310	0.9195497717214426
AT1G77450	AT5G39610	0.9161397783910553
AT4G37260	AT5G67300	0.9161147887427005
AT2G31380	AT5G15850	0.9160832476375131
AT3G17609	AT5G65210	0.915927567575821
AT1G46264	AT5G62020	0.9158283987794432
AT1G53230	AT3G15030	0.9157682737904365
AT1G80840	AT2G25000	0.9156699914466669
AT1G27730	AT4G17500	0.9127240055752319
AT3G01140	AT5G61420	0.9078704536781557
AT1G46264	AT4G36990	0.9031655626076491
AT1G75390	AT5G49450	0.9020486057489284
AT1G13600	AT1G75390	0.9005317276018624
AT2G02450	AT2G23290	0.8986077271782796
AT2G31070	AT5G08070	0.8981100593977135
AT4G36900	AT5G24590	0.8973663953381125
AT2G27110	AT4G38180	0.8970434121856365
AT1G27730	AT5G61600	0.896455922935483
AT1G22070	AT2G31070	0.8921638917827841
AT3G16870	AT4G18390	0.8853354462804599
AT1G30330	AT2G43010	0.8846782268062198
AT1G52880	AT4G36920	0.8839612513744078
AT4G14540	AT5G12840	0.8809149666781085
AT1G43700	AT3G58120	0.8772803164130711
AT2G31380	AT3G17609	0.8760096600727708
AT3G19290	AT4G25480	0.8759255582650793
AT2G23290	AT3G50060	0.8750291944754637
AT1G13600	AT4G34590	0.8744412398185685
AT3G14020	AT3G15030	0.8744395147513517
AT3G47620	AT4G34990	0.8736390945310942
AT2G22540	AT4G01120	0.8734116989097767
AT4G16780	AT5G06710	0.8732600053383486
AT3G15030	AT3G60390	0.8728042568661423
AT2G31070	AT4G18390	0.871310155934371
AT1G54830	AT5G12840	0.8713041796665101
AT1G30500	AT1G54830	0.8695692447119745
AT1G13600	AT5G49450	0.8678895167948784
AT3G02150	AT3G55980	0.8668389519420489
AT1G63650	AT3G27920	0.8665476852907165
AT1G18570	AT2G38470	0.8649826921313072
AT1G69810	AT2G25000	0.8630322586792502
AT2G31070	AT3G01140	0.862546512569293
AT1G32330	AT3G02990	0.8612819744177956
AT1G02340	AT3G19860	0.8608475727328458
AT3G03450	AT3G05690	0.8606481059535558
AT1G34310	AT5G60450	0.8596731913011959
AT1G30490	AT2G01940	0.8565336879077475
AT3G02150	AT4G17695	0.8545311030097142
AT3G10800	AT4G14540	0.8534997132017041
AT1G07980	AT4G14540	0.8534378801368351
AT3G62420	AT4G34590	0.8527661124809298
AT4G17785	AT4G34990	0.8493980363397398
AT5G15800	AT5G60910	0.8475385393784131
AT3G05690	AT4G23980	0.8470103402715502
AT4G04890	AT4G21750	0.8464648057806021
AT1G27730	AT4G17490	0.846457926855379
AT4G18390	AT4G23980	0.8457073909983949
AT3G01140	AT3G15030	0.8448604571533475
AT3G49850	AT5G65210	0.8441342914764448
AT1G32330	AT3G63350	0.8435321429004307
AT4G01550	AT5G41090	0.8406003021993407
AT3G15030	AT4G02670	0.8396926818557602
AT1G14920	AT3G05690	0.8363456112998686
AT1G03970	AT2G41070	0.8349619368954676
AT1G54830	AT3G53340	0.8335495717337862
AT1G53230	AT4G24470	0.8324176982593611
AT1G02340	AT4G16780	0.83201052090608
AT1G56170	AT5G12840	0.8308038539265334
AT2G01570	AT2G02070	0.8300993157946067
AT1G66350	AT3G05690	0.8297952585145861
AT1G79840	AT5G40330	0.8295336265107445
AT2G20180	AT2G43010	0.8277997622871723
AT1G27730	AT5G04340	0.8264462513133047
AT1G56170	AT4G14540	0.8248072026721985
AT1G01060	AT2G46830	0.824130549937181
AT3G02150	AT5G65210	0.8225594157922111
AT1G19850	AT4G32880	0.8211722363031811
AT5G15840	AT5G65210	0.8210200383367131
AT3G15030	AT4G32980	0.8204346923282155
AT4G38180	AT5G65210	0.8200285567238565
AT2G25000	AT4G31800	0.8187774918081593
AT1G22070	AT3G12250	0.8187771762826916
AT1G80840	AT4G01720	0.8186402420052865
AT1G46264	AT3G02990	0.8183314700083851
AT2G01760	AT4G16780	0.8156281457020802
AT1G70920	AT2G44910	0.8155496346260489
AT3G57230	AT4G24540	0.8145621166266991
AT1G69810	AT4G01720	0.8129877594961572
AT1G69120	AT3G54340	0.8126652314821288
AT1G17950	AT3G61910	0.8118734214095444
AT1G14920	AT2G23760	0.8117622000461262
AT4G00480	AT5G40330	0.8114339893430821
AT3G15030	AT3G57230	0.8114072071269747
AT1G69120	AT5G61850	0.8092950595517721
AT1G69120	AT2G22540	0.8089611796267467
AT1G08970	AT1G54160	0.8069726621826653
AT1G14440	AT3G50890	0.8042845314573844
AT3G24140	AT3G26744	0.8003804902959021
AT1G27730	AT2G38470	0.7991447056129943
AT1G13600	AT3G62420	0.799025038740623
AT1G14350	AT3G24140	0.798737463326982
AT4G16780	AT5G47370	0.7986666993826121
AT1G27730	AT5G51190	0.7985610239085222
AT2G01930	AT3G47620	0.7967640826926414
AT1G26260	AT5G41410	0.7964232165786836
AT2G18120	AT3G15030	0.7964229929866493
AT3G02150	AT5G39660	0.7952757386361998
AT3G61910	AT4G12350	0.7951978868574952
AT1G63650	AT5G53200	0.7940153040420188
AT3G28920	AT4G35550	0.7934172477778985
AT1G54830	AT4G14540	0.791379662513919
AT3G02150	AT3G57230	0.7904617533393672
AT1G23420	AT2G18550	0.7894455903334597
AT1G32330	AT4G36990	0.7892450614686987
AT1G32640	AT3G20770	0.7882070080631983
AT1G32240	AT5G16560	0.7862772825194556
AT2G31070	AT5G25220	0.7840302029742174
AT3G15210	AT5G15210	0.7824951292307394
AT5G08070	AT5G60970	0.780824012264627
AT2G16400	AT5G25220	0.7793802816360574
AT4G18390	AT5G60970	0.7793394097270694
AT1G56170	AT5G47670	0.7788692356471215
AT2G35940	AT4G32010	0.7765896552173477
AT5G60970	AT5G65210	0.7756576199052122
AT1G08970	AT1G17590	0.7750482490144925
AT1G03970	AT4G01120	0.7726092238604326
AT2G31070	AT5G60970	0.7723888656037803
AT1G19850	AT1G34310	0.7705302675806247
AT3G15030	AT4G36540	0.770277820397596
AT1G75390	AT3G62420	0.7668575463990376
AT1G54830	AT2G37060	0.7665997744720302
AT2G23760	AT2G41940	0.7654147632654836
AT3G54430	AT5G66350	0.7650396639659391
AT1G30490	AT5G60120	0.7642428003134589
AT1G49720	AT3G19290	0.7640846379629341
AT1G21970	AT3G54320	0.7622989590582896
AT3G02150	AT3G15210	0.761929644137064
AT1G27730	AT2G40140	0.7613688983661956
AT3G14020	AT4G36540	0.7604018124580438
AT3G15030	AT5G08070	0.7601624837706243
AT2G01570	AT3G47620	0.7585571537612009
AT1G18750	AT1G22130	0.7581266119163843
AT3G47620	AT4G16780	0.7580146096457558
AT1G32330	AT5G62020	0.7566901890919736
AT3G61910	AT5G06650	0.7566670351271465
AT1G53230	AT5G08070	0.7556404828696467
AT3G19290	AT5G05410	0.7542021741160045
AT2G33860	AT3G15030	0.7531456361036329
AT2G31070	AT3G57230	0.7525563805057541
AT1G54830	AT5G47670	0.7523143557809134
AT1G30210	AT2G31070	0.7503514356955167
AT3G02150	AT4G36540	0.7492578496126963
AT3G18650	AT5G27910	0.7487898668398233
AT3G27920	AT5G40330	0.7485534094204955
AT1G27730	AT1G80840	0.7479063802803612
AT1G46264	AT3G63350	0.74787767037223
AT4G18390	AT5G08070	0.7477491970149768
AT1G19700	AT1G75410	0.7463211116555204
AT1G69560	AT3G47620	0.7436030039609697
AT2G22770	AT2G33480	0.7435908233695723
AT3G47640	AT4G14410	0.7419388989809846
AT1G14920	AT2G41940	0.7406251729979971
AT1G27730	AT5G47230	0.7391431265779271
AT1G14440	AT1G75240	0.7388150251270656
AT1G20700	AT4G37740	0.7386834464602928
AT1G69120	AT5G60910	0.7364343895958128
AT3G61910	AT5G03740	0.734822214416942
AT2G01570	AT2G23760	0.7343690302374382
AT1G69120	AT5G15800	0.7338845273721808
AT3G02150	AT5G60970	0.733707830521737
AT2G34720	AT3G15030	0.7336766712908737
AT1G67970	AT5G45710	0.7334152575352187
AT1G28370	AT1G80840	0.7322882507181806
AT2G31180	AT5G41090	0.7322865897601059
AT1G31630	AT2G24840	0.7318414788541782
AT1G08970	AT3G05690	0.7315744069788092
AT1G32640	AT1G74080	0.7314836982517565
AT1G08970	AT2G20570	0.7308827875253613
AT1G32770	AT2G04890	0.7294166597183115
AT3G47620	AT4G34680	0.7288198516115729
AT1G28360	AT2G18550	0.7278600970737592
AT1G32770	AT5G06650	0.7275269188257574
AT1G14920	AT2G01760	0.7258717710409464
AT3G03450	AT5G41410	0.7258673020269042
AT1G53170	AT3G16857	0.7258561424324981
AT5G02840	AT5G13910	0.7256035202745325
AT1G22070	AT5G65210	0.7248369476238729
AT1G30500	AT2G37060	0.7226954997204318
AT1G53230	AT1G71030	0.7222406933843418
AT1G68880	AT2G46270	0.7218991425425942
AT1G24260	AT5G61850	0.7203769946440842
AT1G26260	AT4G32980	0.718855813215019
AT5G45300	AT5G53200	0.7188366201858548
AT1G09770	AT5G63420	0.7178579938658208
AT1G32770	AT1G69560	0.7174474232167514
AT3G50890	AT5G65410	0.7160361356040985
AT1G27730	AT5G59820	0.7157021636607273
AT3G21175	AT5G11270	0.7150920719550881
AT1G68880	AT5G65210	0.7146834672872853
AT2G32460	AT3G61910	0.7137518467798292
AT5G02840	AT5G46880	0.710806134142146
AT5G53950	AT5G60120	0.7104730989917617
AT1G69120	AT5G46880	0.7094002354891489
AT1G69120	AT2G45650	0.7081549125079276
AT2G20570	AT2G45190	0.7074660642235268
AT3G55980	AT5G65210	0.703840116755517
AT1G14440	AT5G65410	0.7038169057423557
AT1G71030	AT4G32980	0.7029657569068369
AT2G03710	AT3G15030	0.7028318241970057
AT1G02340	AT2G43010	0.7004452067158937
AT1G32540	AT2G20570	0.7003443400457815
AT3G02150	AT5G08070	0.7002353405839145
AT2G31070	AT3G15030	0.6999872413433791
AT1G30490	AT2G02070	0.6996103599493152
AT1G21970	AT5G12840	0.6977542598181252
AT1G53230	AT3G15210	0.6972663325447567
AT2G03710	AT2G45660	0.6945369229844859
AT1G63650	AT2G30420	0.6929841899254432
AT1G14920	AT4G18390	0.6922073592466607
AT1G30210	AT4G18390	0.6918196662786716
AT4G34990	AT5G41090	0.6917173645247247
AT2G35530	AT4G36730	0.6910993637126636
AT3G61910	AT5G02840	0.6905384488339606
AT5G06710	AT5G47370	0.6879454650839797
AT1G26260	AT5G02030	0.6878931002277939
AT1G12860	AT3G24140	0.6875289736285815
AT3G49940	AT4G35550	0.6871086014027333
AT2G33480	AT5G13180	0.686757877409077
AT1G70920	AT5G47370	0.6859689574823423
AT1G56170	AT3G53340	0.685831280208686
AT4G17785	AT4G22700	0.6839179208213055
AT1G53230	AT5G60970	0.6824860101287583
AT2G02450	AT3G02150	0.6823783786532253
AT1G30490	AT5G16560	0.681851792997175
AT4G22950	AT4G37940	0.6809048318911306
AT1G79180	AT4G09820	0.6808042113041416
AT2G45660	AT3G57230	0.6799872430276983
AT2G18550	AT3G19290	0.6793523678964385
AT1G56170	AT2G37060	0.6778521055289941
AT1G08970	AT3G03450	0.6773634695280036
AT1G21970	AT1G54830	0.677079256524583
AT3G54620	AT4G34590	0.6769622641292519
AT3G14020	AT5G47640	0.675836880449036
AT1G06040	AT1G14920	0.675648904571915
AT2G33860	AT3G02150	0.6750657592276634
AT3G15030	AT5G65210	0.6743533805180789
AT1G19220	AT5G08130	0.6722281953314804
AT1G63650	AT1G79840	0.6713554192933034
AT1G43700	AT1G69180	0.6708435943211798
AT1G53230	AT3G27010	0.6688192984269261
AT3G47620	AT5G60120	0.6686835260329118
AT3G47640	AT3G49850	0.6676707542391098
AT1G75520	AT3G15030	0.6676695804236564
AT2G38880	AT5G38140	0.667552306398969
AT1G54330	AT5G06650	0.667545467230415
AT5G11590	AT5G50820	0.6664245209901181
AT1G30500	AT4G14540	0.6640349779255776
AT3G62420	AT5G28770	0.6628408272129243
AT1G21970	AT3G24650	0.6624277446545378
AT2G37630	AT3G24520	0.6619023224541617
AT1G24260	AT2G22540	0.6613093245903194
AT2G01570	AT4G36930	0.6607071103545008
AT1G22070	AT3G02150	0.66054741209999
AT1G79430	AT4G25470	0.6597190632097547
AT4G34590	AT5G28770	0.6595461784532868
AT5G38800	AT5G53200	0.6585844928082221
AT2G17950	AT2G31070	0.6583814108661586
AT1G16490	AT1G28470	0.6582343316544214
AT1G28360	AT3G61910	0.6560762218240306
AT3G02150	AT5G15850	0.6542883113979128
AT1G53230	AT3G02150	0.652476635261874
AT2G01570	AT5G16560	0.6520834848644377
AT1G75390	AT5G24800	0.6518831229049932
AT1G17590	AT3G15030	0.651377849741268
AT1G75410	AT4G32040	0.6512035278813679
AT1G80840	AT5G22570	0.6511134001589789
AT1G14920	AT1G49720	0.650858021850315
AT1G25560	AT3G49940	0.6497791049187159
AT1G75390	AT3G54620	0.6480225170189947
AT5G22380	AT5G41090	0.6480003068046273
AT1G72830	AT5G47640	0.6472528483694332
AT3G27920	AT4G00480	0.6464747825970046
AT1G19700	AT4G08150	0.6447687175879712
AT1G69810	AT3G02150	0.6445761376749349
AT1G07980	AT5G47670	0.6443400411935444
AT1G32770	AT5G50820	0.6442723849004548
AT1G31630	AT5G58890	0.642952211804279
AT2G22540	AT5G15800	0.642133216737866
AT2G31070	AT4G37740	0.6418212429883745
AT1G22070	AT3G15030	0.6412500768527521
AT2G36270	AT2G41070	0.6411880888276059
AT2G04038	AT5G60970	0.6405036883339659
AT2G02740	AT4G35550	0.6398986953705568
AT1G20700	AT4G17785	0.6393426481086604
AT2G28160	AT5G04150	0.638786265183354
AT3G44460	AT3G56850	0.63858598187389
AT3G02150	AT4G08150	0.6377386853402113
AT3G58780	AT5G15800	0.6342347981594356
AT2G23760	AT5G25220	0.6337588572091485
AT3G47620	AT5G53950	0.6328554885725683
AT5G28770	AT5G49450	0.6327128824291536
AT1G32640	AT5G61420	0.6316675381706963
AT1G32330	AT3G51910	0.6313293382336806
AT3G03450	AT5G67110	0.6306414442893371
AT1G46264	AT5G03720	0.630101902551356
AT2G22540	AT5G10140	0.6291205583371235
AT1G68320	AT3G61910	0.6286111457585585
AT1G18400	AT4G27330	0.6272701245349054
AT1G67710	AT5G03790	0.626782226910585
AT1G17590	AT4G35550	0.6247708698616881
AT5G40330	AT5G53200	0.6234857550503199
AT5G37260	AT5G47220	0.6214582809352126
AT2G22540	AT2G45650	0.6196338183970117
AT1G02340	AT5G24590	0.6195560425299497
AT3G15030	AT5G60970	0.6193443085560993
AT1G21970	AT1G56170	0.6193049261808677
AT1G46264	AT4G18880	0.6179811342888893
AT1G69120	AT2G47190	0.6174411387587584
AT1G08970	AT1G72830	0.6173532203648288
AT1G69600	AT2G18550	0.6163224448477354
AT1G02340	AT2G20180	0.6147526050260509
AT1G19850	AT5G20730	0.6145490940280455
AT2G13570	AT5G38140	0.6143845216588564
AT1G30330	AT2G01570	0.6143767601305747
AT1G75240	AT5G65410	0.6126394736628389
AT1G26780	AT1G76420	0.6124121576066708
AT1G30500	AT1G56170	0.6121982982340062
AT2G36270	AT5G37260	0.6120926273863683
AT1G10240	AT1G54060	0.6112859639849489
AT1G32330	AT5G03720	0.6105571063934836
AT1G32330	AT4G11660	0.6100452407260744
AT2G23760	AT4G36870	0.6087791832381871
AT2G45190	AT4G01500	0.6084039803200721
AT1G01060	AT5G15840	0.6083804060243768
AT5G38140	AT5G47640	0.6076282407142084
AT4G00150	AT4G18390	0.606721826846017
AT4G40060	AT5G65310	0.6064243244841633
AT1G31640	AT3G18650	0.6058713640348979
AT1G06040	AT2G01570	0.6025734492128142
AT1G23380	AT5G53290	0.6017152969634971
AT1G26780	AT4G35550	0.6013036852090696
AT1G75410	AT2G16400	0.6007097399647027
AT5G46830	AT5G60890	0.6006157535646697
AT1G69120	AT3G47620	0.5994568514690695
AT2G40140	AT5G15840	0.5989554306587406
AT1G53170	AT4G32010	0.5986846551832785
AT1G53230	AT2G31070	0.5971499709390227
AT4G18390	AT5G42630	0.5968622890143239
AT4G36540	AT5G60970	0.5962146192208881
AT3G15030	AT5G35900	0.5954112567036539
AT2G20570	AT2G34720	0.5920692385600134
AT1G50640	AT3G61910	0.590720760977206
AT4G17785	AT5G15160	0.5893390810409866
AT5G50820	AT5G53950	0.5892212164885333
AT1G75520	AT2G31070	0.588207831422499
AT5G02470	AT5G22220	0.587598240394643
AT4G34590	AT5G24800	0.587587172061448
AT1G03970	AT3G56850	0.5871510249595775
AT1G71692	AT5G53200	0.5870681797511466
AT1G23420	AT5G21120	0.5870629726276746
AT1G14920	AT2G28550	0.5865665037771747
AT4G32040	AT4G34610	0.5856205507407517
AT1G09530	AT1G80840	0.5849914447767589
AT1G68130	AT3G15030	0.5849456808174619
AT1G14920	AT4G36930	0.5845579989526171
AT1G09030	AT2G28610	0.5842702130229143
AT3G15030	AT4G18390	0.5826938806544898
AT1G54830	AT5G06510	0.582608330793005
AT1G27730	AT1G28370	0.5823048971888384
AT3G15030	AT3G49940	0.58218621113037
AT4G35550	AT5G25220	0.5809928797741507
AT1G20700	AT2G26960	0.5809534964475341
AT1G23420	AT4G01500	0.5806272454807663
AT5G24800	AT5G28770	0.5804239785829385
AT1G14920	AT3G50700	0.5794121257802648
AT1G21970	AT5G17430	0.5789696865022695
AT1G14440	AT4G24660	0.5787736272961989
AT1G32330	AT1G46264	0.5780622839217685
AT1G14920	AT3G24650	0.5768174582415176
AT3G54620	AT5G49450	0.5766741825585678
AT3G23130	AT3G47620	0.5755087801520264
AT1G22070	AT5G06960	0.5742768948219461
AT1G14920	AT5G67110	0.5738213707296993
AT3G54340	AT3G61120	0.5729015732790116
AT5G15800	AT5G62165	0.5727966930057583
AT1G73830	AT5G15840	0.5726704742798745
AT1G14920	AT2G31070	0.5720733599502413
AT1G13600	AT3G30530	0.5715844050660577
AT5G46830	AT5G61420	0.5694604414441529
AT2G18120	AT5G15850	0.5692279449230229
AT1G14920	AT2G02080	0.5688561445796664
AT3G02150	AT3G27010	0.5687832549478021
AT5G44210	AT5G60120	0.568258593324772
AT4G35550	AT5G56780	0.5681987046762064
AT3G61910	AT5G03720	0.567784150500867
AT2G31070	AT4G36540	0.56750306090078
AT1G69600	AT1G75240	0.5670025533867566
AT2G04890	AT5G66350	0.5669805540344106
AT1G72830	AT2G38880	0.5669111204884268
AT2G27990	AT4G08150	0.566760381236155
AT1G54330	AT4G01120	0.5657507169192143
AT1G68880	AT4G36920	0.5651378227253457
AT4G35550	AT5G15850	0.5626882728106866
AT4G01500	AT4G17785	0.5610823171918364
AT2G41940	AT3G47620	0.5610785519303912
AT3G28920	AT5G42780	0.5608890585223244
AT1G60280	AT5G01860	0.560792316547612
AT1G31630	AT2G45650	0.5601240464554289
AT2G42830	AT2G45650	0.5600042567765285
AT4G32890	AT5G37260	0.5587877954002866
AT2G02450	AT5G60970	0.5587551420543946
AT1G30490	AT4G16780	0.5580723951188059
AT1G62990	AT3G24140	0.5580672590838703
AT2G04038	AT3G02150	0.5577721424827595
AT2G22540	AT3G57390	0.5569106314199102
AT5G24590	AT5G50820	0.555933684206901
AT2G45660	AT4G24540	0.5556764977295128
AT3G61910	AT5G10140	0.5552697938546025
AT4G32040	AT5G02030	0.5550482637775707
AT4G18960	AT5G13790	0.5545607453744699
AT2G31070	AT3G49940	0.5534555204225752
AT1G14920	AT3G47620	0.5523832681523637
AT2G22800	AT4G37790	0.5510299286770274
AT1G14920	AT5G16560	0.54873955544074
AT1G17950	AT4G17785	0.5483605775779047
AT1G59750	AT4G23980	0.5480249698990433
AT1G75410	AT5G25220	0.5468614884783062
AT2G41940	AT5G60970	0.5444307362549472
AT5G39760	AT5G65210	0.5443984558664079
AT2G13570	AT3G15030	0.544099090832525
AT2G31070	AT3G02150	0.5435611705249572
AT2G33860	AT5G60970	0.5434312393999211
AT1G18570	AT1G32640	0.5426292040143134
AT1G70920	AT4G16780	0.5417975705162945
AT1G32770	AT5G16600	0.5417911744452485
AT1G26780	AT3G15030	0.539445785969396
AT2G28610	AT3G61910	0.5380710753859766
AT1G32330	AT2G26150	0.5380147323359414
AT3G61630	AT4G11140	0.5379779920322196
AT1G28360	AT5G60120	0.5377684278226341
AT2G17040	AT5G15840	0.5370066380418359
AT1G75390	AT5G28770	0.5360641523193397
AT1G69120	AT2G20570	0.5351281982500131
AT2G13570	AT4G35550	0.5350566344462672
AT2G42380	AT3G61910	0.5349915912747497
AT2G22540	AT3G02310	0.5349624902384486
AT2G01940	AT2G45190	0.5332744853142559
AT1G76870	AT3G58630	0.5332075478104581
AT1G02340	AT3G61910	0.5329208586499651
AT1G69120	AT5G24590	0.5326700036144066
AT2G27470	AT5G27910	0.5324054445107949
AT1G14920	AT1G31630	0.5312303216022745
AT3G01470	AT3G49850	0.5305621847753792
AT1G26780	AT3G28920	0.5301109846422386
AT2G46310	AT4G11140	0.5296827840351512
AT4G17785	AT5G10140	0.5294395680379629
AT2G32250	AT4G35550	0.5293062664725853
AT1G42990	AT2G40950	0.5285099587630417
AT1G23420	AT3G01220	0.527492188686394
AT1G63650	AT5G40330	0.526432318847842
AT1G68880	AT4G34000	0.5262335208826946
AT4G00150	AT5G15850	0.5261938528561763
AT1G14920	AT5G25220	0.5257835285358784
AT3G02150	AT3G24520	0.525368738048554
AT1G54330	AT1G65360	0.5242072570558899
AT2G26960	AT5G38140	0.5240367891194151
AT1G42990	AT3G10800	0.5231296122266742
AT1G19220	AT3G60530	0.5217139983518313
AT1G54330	AT2G22540	0.5211653420359765
AT1G42990	AT3G49530	0.5208412918215601
AT3G62420	AT5G24800	0.5201263724469545
AT2G18550	AT5G56110	0.5200198746505619
AT3G05690	AT3G15030	0.5195589006966568
AT2G28160	AT5G65210	0.5192273125037904
AT1G54330	AT4G12350	0.517441903416721
AT1G24260	AT1G69120	0.5174338585676191
AT2G34720	AT4G35550	0.5171582304517992
AT3G61910	AT5G50820	0.516396947603503
AT4G09820	AT5G53200	0.5158366433225837
AT1G21970	AT5G06510	0.5154495961642935
AT3G61830	AT5G62000	0.5151744600823963
AT3G27010	AT5G60970	0.51467257418488
AT2G16400	AT5G65210	0.514473025132919
AT2G13570	AT5G65210	0.514397321105859
AT1G32770	AT5G12870	0.5143649659309726
AT1G56650	AT4G09820	0.5136869692401701
AT4G08150	AT4G34610	0.5134486538472238
AT1G77450	AT5G37260	0.5129610487312162
AT1G76890	AT4G37260	0.5125127645021126
AT1G17950	AT3G11440	0.5122754459932227
AT1G28470	AT5G56110	0.5121965400715569
AT2G13570	AT3G02150	0.5105458560425185
AT1G51600	AT2G04890	0.5103574353577478
AT1G30500	AT2G47810	0.5095407615136115
AT1G07530	AT5G06950	0.5095321301983275
AT3G47620	AT4G37940	0.5081412371783914
AT3G19510	AT3G61910	0.5081258698105512
AT2G01570	AT5G03150	0.5077705284469148
AT1G53230	AT4G18390	0.5074770427569415
AT2G01930	AT2G21240	0.5074298047191643
AT1G73410	AT3G03450	0.5064490594655309
AT1G28470	AT1G63910	0.505769042398175
AT1G18400	AT5G16560	0.504929695119347
AT1G20700	AT1G65360	0.5035584000292234
AT1G32640	AT5G07690	0.503483091951398
AT1G14920	AT5G47640	0.5026151142465983
AT2G17950	AT3G15030	0.5018157847079106
AT1G52880	AT1G68880	0.501267165126881
AT3G15030	AT3G27010	0.5011143545726675
AT3G58120	AT5G24590	0.5001337980887247
