Gene_A	Gene_B	correlation
IRF7	STAT2	0.978133003534703
IRF7	SP100	0.972114762506777
IRF9	STAT2	0.942258536514867
IRF7	IRF9	0.940838476344329
FOXK1	IKZF1	0.931173184137658
IKZF3	RUNX3	0.922356909484678
RUNX3	TBX21	0.91750690588294
LEF1	TCF7	0.91162631253615
IRF9	STAT1	0.911464426868821
RARA	SPI1	0.904062788770272
IRF9	SP100	0.903806893346383
NFATC2	NFATC3	0.902612455150097
BACH1	CREB5	0.902047926475811
STAT1	STAT2	0.896793138043689
CEBPB	SPI1	0.892994410974217
NFKB2	RELB	0.88889667276444
PHF21A	RBPJ	0.887229622160978
IKZF1	NFATC2	0.87985474844631
RARA	SP1	0.878453610028315
ETV6	ETV7	0.87231952843342
IRF2	IRF9	0.871151296558693
IRF1	STAT1	0.869847814875335
CREB5	JUNB	0.869097485670932
EBF1	PAX5	0.867744414266483
IRF1	IRF2	0.867668201900066
IRF1	STAT3	0.866684435343352
E2F2	TFDP2	0.864799607340437
NFKB2	STAT3	0.863722480670136
FOXK1	NFATC2	0.863495949904906
FOXO3	FOXO4	0.86264627309687
BCL6	STAT3	0.86196646121786
STAT3	STAT5B	0.861369344892331
IKZF1	RUNX3	0.858618669765599
IRF2	STAT1	0.854341276535947
IKZF1	IKZF3	0.853203495955525
SP110	STAT1	0.851839678342436
ARNTL	RARA	0.84890648369632
RELB	STAT3	0.841482971090402
BCL6	STAT5B	0.838569719174371
NFATC1	NFATC2	0.838140425869235
E2F7	E2F8	0.837312605243206
ARID5B	ZBTB38	0.834194884356543
FOS	SPI1	0.832596748373551
KLF6	SP1	0.832086539479731
IRF7	STAT1	0.828954674519699
ZNF264	ZNF460	0.826183393601665
HIVEP1	STAT5B	0.82506232627861
STAT1	STAT5A	0.824036729154475
SP1	USF1	0.822850095708155
STAT3	STAT5A	0.819463727070313
NCOA1	RARA	0.818313734322052
FOXK1	NFATC1	0.818150856570912
STAT5A	STAT5B	0.815431547655128
FOXK2	IKZF1	0.814043359816321
IRF9	STAT5A	0.813802923240707
CEBPB	NCOA1	0.813463581595917
TFE3	TFEB	0.811140323862822
ADNP	ZNF644	0.809095409787651
FOS	NCOA1	0.806122226345685
ZBTB4	ZBTB7A	0.804606628383403
NFKB1	STAT5A	0.803806894830511
MYC	SMAD3	0.800314196815751
FOXK1	FOXK2	0.799692452937627
TP53	ZBTB7A	0.799031407051918
ETS2	SP1	0.799027543668354
ATF3	MEF2A	0.796565468343789
CEBPB	SP1	0.795982087538187
GATA1	KLF1	0.795507169484196
BACH1	RBCK1	0.794837403100797
CXXC5	SMAD5	0.794116845418919
CREB1	FOS	0.790846053483601
IRF2	IRF7	0.79018039089003
HIVEP1	STAT3	0.789801225234303
MYC	REXO4	0.788486990462738
IRF2	STAT2	0.78754260987466
JUNB	SP1	0.785441648313691
ZNF175	ZNF264	0.784065417421505
IKZF1	MBD3	0.781234713597774
BCL11B	NFATC2	0.780407568257705
CTCF	YY1	0.779252273348587
ETS2	SPI1	0.778863389549216
NFATC2	TCF12	0.777791470307092
ATF1	XBP1	0.776859823556976
ZNF264	ZNF805	0.774845909711708
IRF9	STAT3	0.771230129993545
IKZF1	NFATC1	0.769439471330794
FOXK1	ZBTB39	0.768652805417583
STAT2	STAT5A	0.765809503510364
IRF2	SP100	0.760404233988971
MBD3	REST	0.760128297877151
CREB1	PBX2	0.757262750102364
ADNP2	MYC	0.757021080976665
MGA	ZBTB38	0.75637088654143
FOXK2	NFATC1	0.755399340679746
MBD3	NFATC2	0.755365484558537
NCOA1	SP1	0.754028680437993
CENPB	ZNF574	0.75389254587383
NFIC	SMAD3	0.753139097900588
STAT1	STAT3	0.74990872445184
IRF1	IRF9	0.749191665502914
ATF7	MEF2A	0.748705651009877
NFATC1	NFATC3	0.748066964763481
STAT4	TBX21	0.747831115887162
MYC	NFIC	0.74562968507224
RUNX3	ZFHX3	0.74534831331767
NCOA2	SP1	0.744320281847705
GATA3	RUNX3	0.74315640234072
HOXB4	HOXC4	0.740607222835264
MAF	NFATC1	0.740468768706041
NFIC	RELA	0.739633209382584
CHAMP1	NFATC2	0.739275605121947
MYC	SON	0.739013632794641
NFKB1	NFKB2	0.735544612325417
KLF5	RARA	0.733342083723268
CEBPB	NCOA2	0.731865370833734
NCOA1	NCOA2	0.730190041482822
RARA	VDR	0.72961962289355
HOXB3	HOXB4	0.728389715100915
NFX1	ZNF263	0.728338981715536
KDM2B	MYC	0.726389483889964
CEBPB	CREB1	0.72591531877727
BACH1	NFE2L2	0.724438943767105
NCOA2	VDR	0.722599979714358
GATA3	TCF12	0.720414488356301
ATF6	SP1	0.720388151730822
TERF1	ZHX1	0.718308976316008
CTCF	SMAD5	0.717089792298087
IKZF3	MBD3	0.717009798554633
CEBPB	DDIT3	0.716585240490831
