Gene_A	Gene_B	correlation
OR10H2	RTP2	1
KRT17	KRT76	1
GPR37	MTNR1A	1
INSL5	MTNR1A	0.999999999999999
GPR37	INSL5	0.999999999999999
TNNI1	TNNT2	0.999999999999999
AGXT2	DAO	0.999999999999999
FGG	SPP2	0.999999999999999
CCKAR	NTS	0.999999999999999
SPP2	STC2	0.999999999999999
FGG	STC2	0.999999999999999
BMP5	BMP7	0.999999999999999
IFI44	IFI44L	0.996662225684794
IFI44L	RSAD2	0.996575349342695
HERC5	OAS3	0.996348477206652
HERC5	RSAD2	0.996328558349324
IFI44	OAS3	0.99627222920542
OAS3	RSAD2	0.995998318890755
HERC5	IFIT1	0.995455212259727
IFIT3	IFIT5	0.995145197303798
IFI44L	OAS3	0.99492008264905
IFIT2	IFIT3	0.994294843158354
EIF2AK2	MX1	0.994193620594118
DDX58	IFIT3	0.993863990133302
IFI44	RSAD2	0.993757064784481
CMPK2	RSAD2	0.993720887298847
OAS1	OAS3	0.99327860792476
DDX58	IFIT5	0.992969544812679
IFIT1	RSAD2	0.992739753618799
HERC5	IFI44	0.992725621593314
OAS3	XAF1	0.992561686917911
DDX58	IFIH1	0.992546854818392
IFI6	MX1	0.99251657351436
IFI6	XAF1	0.992381119187997
HBG1	HBG2	0.992307329727992
IFI44	XAF1	0.992285640216416
IFI6	IFITM3	0.992251649856383
IFIT1	MX1	0.992187463742123
IFI6	IFIT1	0.991776484479034
MX1	XAF1	0.99167892055525
IFIT1	IFIT2	0.991675039775186
IFIT1	OAS3	0.991564359710245
HERC5	IFI44L	0.991470657852282
IFI6	OAS3	0.991344953977153
OAS1	OAS2	0.990734290121001
IFIT1	IFIT3	0.990588209035616
HERC5	MX1	0.990431318333069
IFIT5	MX1	0.990397020280635
EIF2AK2	IFIT1	0.990135327446248
IFI44	OAS1	0.990055039550614
IFIT1	IFIT5	0.9900436199991
MX1	PARP12	0.989841524171674
IFIT1	XAF1	0.989837610396043
CMPK2	IFIT1	0.989718149089722
IFIT1	IFITM3	0.98969380240025
HERC5	IFI6	0.989677462637036
IFI44	IFI6	0.989006081124917
IFIT3	MX1	0.988881075256701
IFIH1	IFIT3	0.988838022146044
DDX58	IFIT2	0.98882592837764
MX1	OAS3	0.988728994026815
IFI6	RSAD2	0.988488572679186
IFI6	OAS1	0.988445580158924
IFIT3	IFITM3	0.988317504397029
CXCR1	CXCR2	0.988013160134264
HERC5	IFIT3	0.987932072002415
IFIT2	MX1	0.9879147199758
RSAD2	XAF1	0.987628899392184
DDX58	IFI16	0.987560723632348
EIF2AK2	OAS3	0.987556076622944
IFIH1	IFIT5	0.987455379787207
IFITM3	XAF1	0.987438055710972
TMEM176A	TMEM176B	0.987164339111278
GBP1	GBP5	0.986817330178384
IFI44L	OAS1	0.986811937947105
IFI6	IFIT3	0.986715343360104
OAS1	XAF1	0.986612454680936
IFITM3	OAS3	0.986585557353954
EIF2AK2	HERC5	0.986580472699123
IFI44	IFIT1	0.986499188570225
IFITM3	MX1	0.98643679062892
IFIT1	ISG15	0.986405864486158
IFIT3	RSAD2	0.986338067567487
IFIH1	MX1	0.986075927720838
OAS1	RSAD2	0.985968687924882
DHX58	MX1	0.985957278165728
IFIT2	OASL	0.985774526038554
IFITM3	RSAD2	0.985525483067548
DDX60	XAF1	0.985490912854973
IFI6	ISG15	0.985453547605903
DDX60	OAS3	0.985326660329467
IFIT5	RSAD2	0.985311992142647
IFI44L	XAF1	0.984711921642722
ISG15	MX1	0.984694733323857
IFIT5	OAS3	0.984688872867801
DDX60	MX1	0.984616619921514
DDX58	MX1	0.984503394446686
IFI44L	IFIT1	0.984478421325163
HERC5	IFIT2	0.984428928306234
IFITM1	IFITM3	0.98440206800432
DTX3L	PARP14	0.984279370334814
CMPK2	MX1	0.984197245455903
DDX58	HERC5	0.984052368263592
EIF2AK2	IFI44	0.984009693419055
DDX60	HERC5	0.983986729285736
HERC5	OAS1	0.983848686222054
MX1	RSAD2	0.983808321252142
