gene	community
FOXO3	1
FOXO4	1
ZNF264	2
ZNF460	2
ZNF175	2
ZNF805	2
TFE3	3
TFEB	3
GATA1	4
KLF1	4
LYL1	4
TAL1	4
NFE2	4
GFI1B	4
MYB	4
FOXK1	5
IKZF1	5
IKZF3	5
RUNX3	5
TBX21	5
NFATC2	5
NFATC3	5
REST	5
NFATC1	5
MBD3	5
TCF3	5
FOXK2	5
BCL11B	5
TCF12	5
ZBTB39	5
CENPB	5
PIN1	5
ZNF574	5
STAT4	5
ZFHX3	5
GATA3	5
MAF	5
CHAMP1	5
ZFPM1	5
ZNF277	5
ZNF490	5
IKZF4	5
GATAD2B	5
JUND	5
FOXP3	5
GATAD2A	5
RUNX1	5
JUN	5
IRF4	5
HOXA10	5
IKZF2	5
HIC2	5
NFYB	5
CUX1	5
ELF1	5
MEF2D	5
FOXP1	5
SATB1	5
CREM	5
ZNF816	5
ZNF544	5
REPIN1	5
ZNF672	5
EGR1	5
PRDM15	5
MEF2C	5
ZNF526	5
MYCL	5
ZNF688	5
ZNF598	5
ZNF813	5
ELK1	6
ELK4	6
ZBTB14	7
ZBTB21	7
LTF	8
TET2	8
SETDB1	9
ZNF24	9
FLYWCH1	9
SAFB2	10
ZFP41	10
SAFB	10
SPI1	11
JUNB	11
RARA	11
BACH1	11
CREB5	11
SP1	11
CEBPB	11
ARNTL	11
ATF3	11
FOS	11
KLF6	11
USF1	11
NCOA1	11
ETS2	11
MEF2A	11
RBCK1	11
CREB1	11
PBX2	11
ATF7	11
NCOA2	11
KLF5	11
VDR	11
NFE2L2	11
ATF6	11
DDIT3	11
NFE2L3	11
NFIL3	11
NFYA	11
TCF20	11
HIF1A	11
BATF2	11
CEBPE	11
STAT6	11
NFYC	11
BATF	11
NR3C1	11
RXRA	11
FOSL2	11
SRF	11
HOXA2	11
PKNOX1	11
NKX3-1	11
TOPORS	11
JDP2	11
SP3	11
CEBPD	11
TEAD2	11
ZBTB7B	11
NR1H2	11
NR6A1	11
AHR	11
SPEN	11
FLI1	11
E2F3	11
ZEB1	11
IRF7	12
STAT2	12
SP100	12
BCL6	12
IRF9	12
STAT3	12
STAT1	12
NFKB2	12
RELB	12
PHF21A	12
RBPJ	12
ETV6	12
ETV7	12
IRF2	12
IRF1	12
STAT5B	12
SP110	12
HIVEP1	12
STAT5A	12
NFKB1	12
DNTTIP1	12
IRF5	12
KDM2A	12
ZNF281	12
MXD1	12
MXD3	12
ESR2	12
PLSCR1	12
ZNF276	12
KMT2B	12
HSF4	12
HES1	12
MAFB	12
MEIS1	13
PBX1	13
TP53	14
KMT2A	14
E2F7	14
E2F8	14
ZBTB4	14
ZBTB7A	14
TCF4	14
HMG20A	14
THAP11	14
KLF9	14
ZFP91	14
ETS1	14
FOXO1	14
KLF2	14
FOXM1	14
ZNF385A	14
ZBTB3	14
DOT1L	14
CENPA	14
SOX4	14
TP63	14
BHLHA15	14
ARHGAP35	14
ZBTB43	14
GTF2I	14
KAT7	14
HOMEZ	14
EEA1	14
PHF20	14
HMG20B	14
ZNF668	14
POU2AF1	14
THAP1	14
CXXC1	14
NR4A1	14
ZBTB24	14
KDM5B	15
ZNF217	15
DR1	16
HSF1	16
NRF1	17
SP4	17
EBF1	18
PAX5	18
ADNP	18
ZNF644	18
ZBTB2	18
PATZ1	18
NR2C2	18
BACH2	18
ZNF524	18
WIZ	18
ZBTB1	18
ZNF512	18
ZBTB25	18
ZNF581	18
HOXB4	19
HOXC4	19
HOXB3	19
RARG	19
THRA	19
PRDM5	20
ZNF687	20
NR1D1	21
RORA	21
CLOCK	21
RORC	21
ARNTL2	21
ATF1	22
XBP1	22
TFAP4	22
CREB3L2	22
TFCP2	22
UBP1	22
ATF6B	22
GABPA	22
CREB3	22
ZBTB9	22
ZFP64	22
CEBPG	22
DBP	22
ZZZ3	22
ZNF22	22
ZNF624	22
ARID2	22
BPTF	22
ZNF71	22
NPAS2	22
ATF5	22
ZNF184	22
ATF4	22
THYN1	22
ZNF444	23
ZNF579	23
ZNF212	24
ZNF777	24
HMGA1	25
YY1	25
CXXC5	25
SMAD5	25
CTCF	25
ZBTB33	25
ZHX1	25
TERF1	25
PA2G4	25
MECP2	25
TERF2	25
ZNF800	25
SKI	25
BBX	25
ATF2	25
THRB	25
HIC1	25
YBX1	25
SMAD4	25
PRDM16	25
PPARD	25
ZNF232	25
PROX1	26
SOX18	26
MGA	27
E2F2	27
TFDP2	27
ARID5B	27
ZBTB38	27
E2F4	27
MYBL2	27
LIN54	27
TFDP1	27
DNMT1	27
TET1	27
AEBP2	27
MTF2	27
PHF19	27
FOXJ2	27
ZNF689	27
PCGF6	27
L3MBTL3	27
L3MBTL4	27
E2F1	27
ZKSCAN1	27
E2F5	27
SREBF1	28
TWIST2	28
LEF1	29
TCF7	29
MYC	29
SMAD3	29
REXO4	29
USF2	29
ADNP2	29
RELA	29
NFIC	29
SON	29
KDM2B	29
SRCAP	29
NKRF	29
AKAP8	29
SREBF2	29
ETV3	29
PRDM4	29
KLF13	29
NCOA3	29
CDC5L	29
ZNF274	29
ZNF121	29
ZNF286A	29
IRF8	29
TGIF2	29
ZBTB16	29
ZNF318	29
NFE2L1	29
ARNT	29
GLYR1	29
CHCHD3	29
MNT	29
GMEB1	29
MAFG	29
PPARA	29
MAFK	29
FOSB	29
TGIF1	29
ZNF329	29
ZHX3	29
KLF4	30
TCF7L2	30
NFIA	31
ZNF326	31
NFX1	32
ZNF263	32
RBAK	32
ZNF550	32
ZKSCAN8	32
ZNF445	32
SETDB2	32
ZNF707	32
ZNF169	32
ZNF316	32
ZNF165	32
ZNF273	32
ZSCAN25	32
CSRNP1	33
ZNF587	33
CIC	34
ZBTB18	34
