gene	community
OR10H2	1
RTP2	1
OR2G2	1
KRT17	2
KRT76	2
TNNI1	3
TNNT2	3
TNNC1	3
AGXT2	4
DAO	4
FGG	5
SPP2	5
STC2	5
BPIFB2	5
CCKAR	6
NTS	6
BMP5	7
BMP7	7
TDGF1	7
TMEM176A	8
TMEM176B	8
MS4A14	8
PLXNB1	9
SEMA5A	9
ADAMTS17	9
ADAMTS15	10
THSD7B	10
CD300C	11
LILRB1	11
MTRNR2L1	12
MTRNR2L10	12
PADI3	13
TEX35	13
PADI1	13
CASS4	14
NME8	14
ZCWPW1	14
FMN1	15
WDFY4	15
OR2Z1	16
RTP3	16
OR5B12	16
OR2K2	16
OR13A1	16
OR2L3	16
OR2T11	16
OR10H1	16
OR6K6	16
CRH	17
TAAR2	17
IFI44	18
IFI44L	18
RSAD2	18
HERC5	18
OAS3	18
IFIT1	18
IFIT3	18
IFIT5	18
IFIT2	18
EIF2AK2	18
MX1	18
DDX58	18
CMPK2	18
OAS1	18
XAF1	18
IFIH1	18
IFI6	18
IFITM3	18
OAS2	18
PARP12	18
IFI16	18
GBP1	18
GBP5	18
ISG15	18
DHX58	18
OASL	18
DDX60	18
IFITM1	18
DTX3L	18
PARP14	18
MX2	18
HERC6	18
PML	18
TRIM22	18
ADAR	18
HELZ2	18
PARP9	18
IFI35	18
TRIM5	18
DDX60L	18
CARD16	18
CASP1	18
CAMP	18
MMP8	18
FCGR1A	18
FCGR1B	18
SAMD9	18
SAMD9L	18
GBP2	18
DDX3X	18
KDM6A	18
RNF213	18
LCN2	18
HLA-F	18
TLR1	18
TLR6	18
UBE2L6	18
AGRN	18
MOV10	18
USP18	18
RTP4	18
TRIM38	18
TRIM25	18
CSF2RB	18
LYN	18
FCGR2A	18
TAP1	18
HCK	18
WAS	18
LILRB3	18
LTA4H	18
GBP6	18
HLA-DQB1	18
HLA-DRB1	18
MAPK14	18
ARGLU1	18
SNRNP70	18
BST2	18
TNFRSF1A	18
NOD2	18
S100A12	18
S100A9	18
TAP2	18
FBXO6	18
HLA-A	18
HLA-E	18
APOL2	18
LAMP3	18
CASP5	18
XPO6	18
AIM2	18
MNDA	18
NCF2	18
HLA-DQA1	18
ACOX1	18
CREBBP	18
PRKCD	18
TPM2	18
TTN	18
KDM5C	18
PARP10	18
LY96	18
GCA	18
SDCBP	18
CAMKK2	18
ACTN1	18
TUBA1A	18
FRAT1	18
FRAT2	18
PGLYRP1	18
GAB2	18
PDLIM7	18
SVIL	18
TRIM21	18
CSF3R	18
SPATS2L	18
UBE2D1	18
CASP4	18
BPI	18
CHMP5	18
CD274	18
PDCD1LG2	18
NDE1	18
NT5C2	18
