Gene_A	Gene_B	correlation
IRF7	STAT2	0.978133003534703
IRF7	SP100	0.9721147625067766
BCL6	SPI1	0.9497896124723658
IRF9	STAT2	0.9422585365148672
IRF7	IRF9	0.9408384763443289
JUNB	STAT3	0.9319393435386542
FOXK1	IKZF1	0.9311731841376576
IKZF3	RUNX3	0.9223569094846782
RUNX3	TBX21	0.9175069058829405
HMGA1	TP53	0.9161967334102078
LEF1	TCF7	0.9116263125361497
IRF9	STAT1	0.9114644268688212
RARA	SPI1	0.9040627887702716
IRF9	SP100	0.9038068933463829
NFATC2	NFATC3	0.9026124551500975
BACH1	CREB5	0.902047926475811
SP1	STAT3	0.8974352409419899
STAT1	STAT2	0.8967931380436885
CEBPB	SPI1	0.8929944109742167
NFKB2	RELB	0.8888966727644396
PHF21A	RBPJ	0.8872296221609778
HMGA1	REST	0.8827670440451159
IKZF1	NFATC2	0.8798547484463097
RARA	SP1	0.8784536100283152
KMT2A	MGA	0.872917841260441
ETV6	ETV7	0.8723195284334201
IRF2	IRF9	0.8711512965586926
IRF1	STAT1	0.8698478148753349
CREB5	JUNB	0.8690974856709318
EBF1	PAX5	0.8677444142664826
IRF1	IRF2	0.8676682019000657
IRF1	STAT3	0.8666844353433516
E2F2	TFDP2	0.8647996073404368
NFKB2	STAT3	0.863722480670136
FOXK1	NFATC2	0.8634959499049055
FOXO3	FOXO4	0.8626462730968699
BCL6	STAT3	0.8619664612178597
STAT3	STAT5B	0.8613693448923307
REST	TP53	0.859862778392891
IKZF1	RUNX3	0.8586186697655994
IRF2	STAT1	0.8543412765359469
IKZF1	IKZF3	0.8532034959555251
SP110	STAT1	0.851839678342436
ARNTL	RARA	0.84890648369632
IRF2	SPI1	0.8471541253715277
RUNX3	TP53	0.8423998888003579
HMGA1	NFATC1	0.8415922206598959
RELB	STAT3	0.8414829710904016
ARNTL	PHF21A	0.840993160605959
ATF3	STAT1	0.8409732731226199
BCL6	STAT5B	0.8385697191743706
NFATC1	NFATC2	0.8381404258692347
E2F7	E2F8	0.8373126052432057
ARID5B	ZBTB38	0.8341948843565431
FOXK1	TP53	0.8326947660119395
FOS	SPI1	0.8325967483735514
KLF6	SP1	0.8320865394797305
HMGA1	MYC	0.8316030453655303
IRF7	STAT1	0.828954674519699
MYC	TP53	0.8287393447581416
MBD3	TP53	0.8276760469369369
ZNF264	ZNF460	0.8261833936016652
HIVEP1	STAT5B	0.8250623262786099
STAT1	STAT5A	0.8240367291544752
TCF3	YY1	0.8228911055609581
SP1	USF1	0.8228500957081555
BCL6	JUNB	0.8209297424271846
STAT3	STAT5A	0.819463727070313
NCOA1	RARA	0.8183137343220521
FOXK1	NFATC1	0.8181508565709118
STAT5A	STAT5B	0.815431547655128
NCOA1	STAT3	0.8153449026223144
FOXK2	IKZF1	0.8140433598163208
IRF9	STAT5A	0.8138029232407068
CEBPB	NCOA1	0.8134635815959174
TFE3	TFEB	0.8111403238628222
ADNP	ZNF644	0.8090954097876512
IRF1	SPI1	0.8068468118029354
FOS	NCOA1	0.8061222263456849
ZBTB4	ZBTB7A	0.8046066283834034
NFKB1	STAT5A	0.803806894830511
MBD3	ZBTB7A	0.801889359346423
ADNP	NFATC1	0.801591883252051
CEBPB	STAT3	0.8014583666122927
MYC	SMAD3	0.8003141968157513
FOXK1	FOXK2	0.7996924529376268
TP53	ZBTB7A	0.799031407051918
ETS2	SP1	0.799027543668354
ATF3	MEF2A	0.7965654683437894
CEBPB	SP1	0.7959820875381872
GATA1	KLF1	0.7955071694841959
BACH1	RBCK1	0.7948374031007971
CXXC5	SMAD5	0.7941168454189194
CREB1	FOS	0.790846053483601
ADNP	MYC	0.7902010541610096
IRF2	IRF7	0.7901803908900298
HIVEP1	STAT3	0.7898012252343032
MYC	REXO4	0.7884869904627375
IRF2	STAT2	0.7875426098746595
JUNB	SP1	0.7854416483136913
ZNF175	ZNF264	0.7840654174215055
ADNP	FOXK2	0.7824712322973171
IKZF1	MBD3	0.7812347135977736
BCL11B	NFATC2	0.780407568257705
CTCF	YY1	0.7792522733485867
ETS2	SPI1	0.778863389549216
NFATC2	TCF12	0.777791470307092
ATF1	XBP1	0.7768598235569765
SMAD3	TP53	0.7763673811544504
ZNF264	ZNF805	0.774845909711708
ADNP	NFATC2	0.7732856626080223
IRF9	STAT3	0.7712301299935451
IKZF1	NFATC1	0.769439471330794
FOXK1	ZBTB39	0.7686528054175826
CENPB	ZNF264	0.7659729166752451
STAT2	STAT5A	0.7658095035103636
CREB1	RBPJ	0.7654372580889302
FOXK2	TP53	0.7653055672976661
PIN1	TP53	0.7634377503516159
TFAP4	USF2	0.7628276773083548
IRF2	SP100	0.7604042339889708
MBD3	REST	0.7601282978771509
TP53	ZBTB33	0.7576788769934807
CREB1	PBX2	0.7572627501023638
ADNP2	MYC	0.7570210809766649
CREB1	STAT3	0.7567606448057177
MGA	ZBTB38	0.7563708865414305
RUNX3	SMAD3	0.7558078287484251
FOXK2	NFATC1	0.7553993406797463
MBD3	NFATC2	0.7553654845585366
RELA	TP53	0.7541125476485502
NCOA1	SP1	0.7540286804379931
CENPB	ZNF574	0.7538925458738303
NFIC	SMAD3	0.7531390979005878
STAT1	STAT3	0.74990872445184
IRF1	IRF9	0.7491916655029145
ATF7	MEF2A	0.7487056510098765
NFATC1	NFATC3	0.748066964763481
STAT4	TBX21	0.7478311158871621
MYC	TCF12	0.7457895788999779
MYC	NFIC	0.7456296850722403
KMT2A	MYC	0.7454312618060692
RUNX3	ZFHX3	0.7453483133176699
NCOA2	SP1	0.7443202818477046
GATA3	RUNX3	0.7431564023407197
TFAP4	TP53	0.7422931289633727
HOXB4	HOXC4	0.7406072228352644
MAF	NFATC1	0.7404687687060412
NFIC	RELA	0.7396332093825844
CHAMP1	NFATC2	0.7392756051219466
MYC	SON	0.739013632794641
CHAMP1	ZNF644	0.7385809433449133
NFATC1	TP53	0.7380204700069176
NFKB1	NFKB2	0.7355446123254169
KLF5	RARA	0.7333420837232676
RUNX3	SMAD5	0.732022210072817
CEBPB	NCOA2	0.7318653708337344
NCOA1	NCOA2	0.7301900414828218
RARA	VDR	0.7296196228935495
TP53	ZHX1	0.7289504957107847
HOXB3	HOXB4	0.7283897151009145
NFX1	ZNF263	0.7283389817155362
MGA	MYC	0.726804746184569
PIN1	SMAD3	0.7266391104534279
KDM2B	MYC	0.7263894838899636
CEBPB	CREB1	0.7259153187772701
BACH1	NFE2L2	0.724438943767105
TP53	ZBTB2	0.7241552381366373
NCOA2	VDR	0.7225999797143576
GATA3	TCF12	0.7204144883563005
ATF6	SP1	0.7203881517308225
TCF12	TCF4	0.7195443877096369
TP53	YY1	0.7185459834571922
TERF1	ZHX1	0.7183089763160077
FOXK2	MYC	0.717867254486972
CTCF	SMAD5	0.7170897922980872
IKZF3	MBD3	0.717009798554633
CEBPB	DDIT3	0.7165852404908315
NFE2L2	NFE2L3	0.7164250577240356
MYC	SRCAP	0.7162947695350426
ETS2	NCOA1	0.7152656290009912
