Gene_A	Gene_B	correlation
OR10H2	RTP2	1.0
KRT17	KRT76	0.9999999999999999
GPR37	MTNR1A	0.9999999999999996
INSL5	MTNR1A	0.9999999999999994
GPR37	INSL5	0.9999999999999994
TNNI1	TNNT2	0.9999999999999994
AGXT2	DAO	0.9999999999999993
FGG	SPP2	0.9999999999999993
CCKAR	NTS	0.9999999999999993
SPP2	STC2	0.9999999999999992
FGG	STC2	0.9999999999999992
BMP5	BMP7	0.9999999999999992
IFI44	IFI44L	0.9966622256847942
IFI44L	RSAD2	0.9965753493426948
HERC5	OAS3	0.9963484772066519
HERC5	RSAD2	0.9963285583493237
IFI44	OAS3	0.9962722292054196
OAS3	RSAD2	0.9959983188907549
HERC5	IFIT1	0.9954552122597266
IFIT3	IFIT5	0.9951451973037976
IFI44L	OAS3	0.9949200826490497
IFIT2	IFIT3	0.9942948431583539
EIF2AK2	MX1	0.9941936205941179
DDX58	IFIT3	0.9938639901333015
IFI44	RSAD2	0.9937570647844807
CMPK2	RSAD2	0.9937208872988473
OAS1	OAS3	0.9932786079247602
DDX58	IFIT5	0.9929695448126792
IFIT1	RSAD2	0.9927397536187988
HERC5	IFI44	0.992725621593314
OAS3	XAF1	0.9925616869179115
DDX58	IFIH1	0.9925468548183919
IFI6	MX1	0.9925165735143604
IFI6	XAF1	0.9923811191879974
HBG1	HBG2	0.9923073297279923
IFI44	XAF1	0.9922856402164163
IFI6	IFITM3	0.9922516498563826
IFIT1	MX1	0.9921874637421226
IFI6	IFIT1	0.9917764844790339
MX1	XAF1	0.9916789205552495
IFIT1	IFIT2	0.9916750397751858
IFIT1	OAS3	0.9915643597102449
HERC5	IFI44L	0.9914706578522815
IFI6	OAS3	0.9913449539771532
OAS1	OAS2	0.9907342901210008
IFIT1	IFIT3	0.9905882090356161
HERC5	MX1	0.9904313183330694
IFIT5	MX1	0.9903970202806353
EIF2AK2	IFIT1	0.990135327446248
IFI44	OAS1	0.9900550395506139
IFIT1	IFIT5	0.9900436199990996
MX1	PARP12	0.989841524171674
IFIT1	XAF1	0.9898376103960426
CMPK2	IFIT1	0.9897181490897219
IFIT1	IFITM3	0.9896938024002503
HERC5	IFI6	0.9896774626370359
IFI44	IFI6	0.9890060811249165
IFIT3	MX1	0.9888810752567007
IFIH1	IFIT3	0.9888380221460444
DDX58	IFIT2	0.9888259283776396
MX1	OAS3	0.9887289940268151
IFI6	RSAD2	0.9884885726791856
IFI6	OAS1	0.988445580158924
IFIT3	IFITM3	0.9883175043970291
CXCR1	CXCR2	0.9880131601342635
HERC5	IFIT3	0.9879320720024154
IFIT2	MX1	0.9879147199758003
RSAD2	XAF1	0.9876288993921842
DDX58	IFI16	0.9875607236323485
EIF2AK2	OAS3	0.9875560766229442
IFIH1	IFIT5	0.9874553797872065
IFITM3	XAF1	0.9874380557109722
TMEM176A	TMEM176B	0.987164339111278
GBP1	GBP5	0.9868173301783836
IFI44L	OAS1	0.986811937947105
IFI6	IFIT3	0.9867153433601036
OAS1	XAF1	0.9866124546809361
IFITM3	OAS3	0.9865855573539536
EIF2AK2	HERC5	0.9865804726991234
IFI44	IFIT1	0.9864991885702252
IFITM3	MX1	0.9864367906289199
IFIT1	ISG15	0.9864058644861575
IFIT3	RSAD2	0.9863380675674872
IFIH1	MX1	0.9860759277208376
OAS1	RSAD2	0.9859686879248821
DHX58	MX1	0.9859572781657281
IFIT2	OASL	0.9857745260385536
IFITM3	RSAD2	0.9855254830675477
DDX60	XAF1	0.9854909128549731
IFI6	ISG15	0.9854535476059026
DDX60	OAS3	0.9853266603294668
IFIT5	RSAD2	0.9853119921426474
IFI44L	XAF1	0.9847119216427218
ISG15	MX1	0.9846947333238566
IFIT5	OAS3	0.984688872867801
DDX60	MX1	0.9846166199215141
DDX58	MX1	0.9845033944466857
IFI44L	IFIT1	0.9844784213251632
HERC5	IFIT2	0.9844289283062344
IFITM1	IFITM3	0.9844020680043201
DTX3L	PARP14	0.9842793703348139
CMPK2	MX1	0.984197245455903
DDX58	HERC5	0.984052368263592
EIF2AK2	IFI44	0.9840096934190553
DDX60	HERC5	0.9839867292857364
HERC5	OAS1	0.9838486862220545
MX1	RSAD2	0.983808321252142
IFI44L	IFI6	0.9834926046767621
NKG7	PRF1	0.9834387716894143
IFIT3	OASL	0.9833201989209933
OAS2	OAS3	0.983157848407333
IFIT2	IFITM3	0.983142318216999
IFI44	MX1	0.9830790655319579
DDX58	MX2	0.9828974043500547
IFIH1	PARP14	0.9828017561699949
IFIH1	IFIT2	0.9826899807817683
IFIT1	OAS1	0.9826407391155058
HERC6	OAS3	0.9825324952947743
HERC6	IFI44L	0.9824286046725644
HERC6	IFI44	0.9822453160926632
DDX58	IFIT1	0.9822191860497513
HCAR2	HCAR3	0.9820483756355105
DDX60	IFI44	0.9818603755852415
EIF2AK2	RSAD2	0.9818300398302834
MX1	OAS1	0.9813482419351627
HERC6	OAS2	0.9811423789210637
IFIT3	OAS3	0.9809378876221985
PML	TRIM22	0.9808555366635483
DDX60	IFIT5	0.9808060232372972
IFI6	IFIT2	0.9802335976673741
DDX58	OASL	0.9802248063283737
EIF2AK2	ISG15	0.9799736010974108
DHX58	EIF2AK2	0.979790198587542
IFIT2	RSAD2	0.9794086147348499
IFIH1	OASL	0.9792707543280458
ISG15	OAS1	0.9791059901402104
ISG15	OAS3	0.9790842508721924
IFIT3	XAF1	0.9790648860757399
IFI44	OAS2	0.9789756417836557
HERC5	ISG15	0.9783413542012327
DDX58	RSAD2	0.9782428379768183
DDX58	DDX60	0.978183203458427
HERC6	RSAD2	0.9780245324936266
DDX60	RSAD2	0.9777511103692536
ISG15	XAF1	0.9776223037328968
DHX58	RSAD2	0.9774515768366536
HERC6	OAS1	0.9774288964276946
IFIT5	OASL	0.9773027379289885
DDX60	IFIH1	0.9772925179957321
ISG15	RSAD2	0.9772573707245661
DDX60	OAS1	0.9769029741455011
CMPK2	IFIT3	0.9768991200160397
IFI6	IFITM1	0.9768762158040847
IFIT3	ISG15	0.9768543506404064
IFI44	IFIT5	0.9766712712868163
EIF3L	RPS2	0.9766540729513248
EIF2AK2	IFI44L	0.9761654012855976
DDX58	EIF2AK2	0.9761575019050596
ADAR	IFI16	0.9761028461867507
IFIH1	IFIT1	0.9760342741478163
HERC5	IFIH1	0.9759814380028928
ADAR	MX2	0.9759560048881414
IFIT2	XAF1	0.975884511326491
DDX58	OAS3	0.9758832924071971
IFI44L	MX1	0.9756136112938564
HERC5	HERC6	0.9755292647106063
DDX60	IFIT3	0.9754667725428278
HELZ2	IFI16	0.9750546474435662
PARP14	PARP9	0.9748623721770142
IFI35	IFIH1	0.974778019486226
IFIT2	ISG15	0.9747585632178721
OAS3	TRIM5	0.9747247624699915
DDX60	IFI44L	0.9746892984781702
A2M	PZP	0.9746589857324023
IFIT2	OAS3	0.9746587212294713
IFI44L	OAS2	0.9745782179356949
IFI44L	IFIT3	0.9745223972249316
IFIT5	ISG15	0.9745186546749333
DDX60L	IFI16	0.9744398498802151
IFIH1	PARP9	0.9744117185112823
DDX60	IFIT1	0.974254555126318
DHX58	IFIH1	0.9741783833548561
IFITM3	OAS1	0.9741421056142511
CARD16	CASP1	0.9741283359274072
IFI16	PML	0.9740839726957585
IFI44	IFIT3	0.9740815637022452
CAMP	MMP8	0.9740360973661888
IFIT3	IFITM1	0.973970687129991
IFI44L	IFIT5	0.9739633162742102
DDX58	DHX58	0.9739556742646004
FCGR1A	FCGR1B	0.9737551888339782
