	TF	TG
1	AHR	ABCB6
2	AHR	ABI2
3	AHR	ACADSB
4	AHR	ASIC2
5	AHR	ASIC1
6	AHR	ADO
7	AHR	AGFG2
8	AHR	AMPD2
9	AHR	ANP32A
10	AHR	AP3S1
11	AHR	ARL3
12	AHR	ARRB2
13	AHR	ASCL1
14	AHR	ASPH
15	AHR	ATG12
16	AHR	ATL1
17	AHR	ATOH1
18	AHR	ATXN2L
19	AHR	AXIN2
20	AHR	B3GALNT1
21	AHR	BCL11A
22	AHR	BCL11B
23	AHR	BCL9L
24	AHR	BDNF
25	AHR	BHLHE41
26	AHR	BIN1
27	AHR	BRSK2
28	AHR	BTBD3
29	AHR	BZW2
30	AHR	CACUL1
31	AHR	ASUN
32	AHR	C12orf66
33	AHR	ELMSAN1
34	AHR	PAGR1
35	AHR	C16orf87
36	AHR	URB1-AS1
37	AHR	KANSL1L
38	AHR	TRAPPC13
39	AHR	CACNA1B
40	AHR	CACNG3
41	AHR	CAMK2D
42	AHR	CAMK2N2
43	AHR	CBX6
44	AHR	CD320
45	AHR	CDK16
46	AHR	CDKN1B
47	AHR	CFL1
48	AHR	CHCHD1
49	AHR	CHRM1
50	AHR	CIRBP
51	AHR	CMIP
52	AHR	CNPY2
53	AHR	CREBZF
54	AHR	CYP1A1
55	AHR	CYP1A2
56	AHR	CYP1B1
57	AHR	DAZAP1
58	AHR	DCTN5
59	AHR	DDIT3
60	AHR	DHX40
61	AHR	DNAAF1
62	AHR	DOC2A
63	AHR	DOT1L
64	AHR	DSTN
65	AHR	DTX1
66	AHR	EDEM3
67	AHR	EED
68	AHR	EID1
69	AHR	EIF3A
70	AHR	EIF4A2
71	AHR	ELAVL4
72	AHR	ENOPH1
73	AHR	EPHB1
74	AHR	EPO
75	AHR	EYA3
76	AHR	FAM134C
77	AHR	FBXO36
78	AHR	FGD1
79	AHR	FGF9
80	AHR	FGFR1OP2
81	AHR	FHOD1
82	AHR	FOS
83	AHR	FOSB
84	AHR	FOXO3
85	AHR	FUT8
86	AHR	GAD2
87	AHR	GADD45G
88	AHR	GIT2
89	AHR	GJD2
90	AHR	GRIN2B
91	AHR	H2AFZ
92	AHR	HNRNPL
93	AHR	HNRNPDL
94	AHR	HOXC4
95	AHR	HOXC6
96	AHR	HSDL1
97	AHR	IKZF5
98	AHR	IMMT
99	AHR	ING3
100	AHR	INSIG1
101	AHR	IRF2BPL
102	AHR	AJUBA
103	AHR	KDM2A
104	AHR	LCOR
105	AHR	LENG8
106	AHR	LHFPL4
107	AHR	LMO3
108	AHR	ADGRL1
109	AHR	LUM
110	AHR	MAF
111	AHR	MAX
112	AHR	MAZ
113	AHR	MBD3
114	AHR	MECP2
115	AHR	MEIS1
116	AHR	MEIS2
117	AHR	MEX3B
118	AHR	MINK1
119	AHR	MLLT10
120	AHR	MNT
121	AHR	MOSPD2
122	AHR	MPP5
123	AHR	MRPL45
124	AHR	MST1
125	AHR	NDUFA13
126	AHR	NEK8
127	AHR	NEUROG2
128	AHR	NPHP4
129	AHR	NR0B1
130	AHR	NR2F2
131	AHR	NR3C1
