protein1	protein2
AT1G01010	AT1G06149
AT1G01010	AT5G26600
AT1G01010	AT1G01020
AT1G01020	AT1G01010
AT1G01020	AT1G73200
AT1G01030	AT3G19870
AT1G01030	AT3G51060
AT1G01040	AT1G69440
AT1G01040	AT2G28380
AT1G01040	AT1G31280
AT1G01040	AT2G46920
AT1G01040	AT3G49500
AT1G01040	AT2G27040
AT1G01040	AT5G23080
AT1G01040	AT1G45230
AT1G01040	AT3G62800
AT1G01040	AT2G27880
AT1G01040	AT1G09700
AT1G01040	AT5G21150
AT1G01040	AT5G23570
AT1G01040	AT5G44200
AT1G01040	AT5G41070
AT1G01040	AT3G05040
AT1G01040	AT1G31290
AT1G01040	AT3G03300
AT1G01040	AT1G48410
AT1G01040	AT5G21030
AT1G01040	AT4G21670
AT1G01040	AT4G20910
AT1G01040	AT2G32940
AT1G01040	AT1G63020
AT1G01040	AT4G11130
AT1G01040	AT5G43810
AT1G01040	AT3G20550
AT1G01040	AT1G16870
AT1G01040	AT2G27100
AT1G01060	AT3G54500
AT1G01060	AT5G15840
AT1G01060	AT2G40080
AT1G01060	AT5G02810
AT1G01060	AT5G57360
AT1G01060	AT3G60250
AT1G01060	AT4G08920
AT1G01060	AT5G64170
AT1G01060	AT1G65480
AT1G01060	AT1G29910
AT1G01060	AT2G18915
AT1G01060	AT5G53360
AT1G01060	AT3G22380
AT1G01060	AT5G15850
AT1G01060	AT5G61380
AT1G01060	AT1G04400
AT1G01060	AT2G18790
AT1G01060	AT1G29920
AT1G01060	AT3G09600
AT1G01060	AT2G25930
AT1G01060	AT3G02380
AT1G01060	AT2G46790
AT1G01060	AT4G10180
AT1G01060	AT5G24470
AT1G01060	AT3G12320
AT1G01060	AT5G60100
AT1G01060	AT1G22770
AT1G01060	AT4G38960
AT1G01060	AT2G46830
AT1G01060	AT3G22170
AT1G01060	AT1G68050
AT1G01060	AT3G46640
AT1G01080	AT1G05190
AT1G01080	AT2G04842
AT1G01080	AT2G43030
AT1G01080	AT2G33450
AT1G01080	AT1G07320
AT1G01080	AT1G14030
AT1G01080	AT5G13410
AT1G01080	AT5G47190
AT1G01080	AT4G29060
AT1G01080	AT3G08740
AT1G01080	AT4G39620
AT1G01080	AT4G02530
AT1G01080	AT3G47650
AT1G01080	AT1G02150
AT1G01080	AT5G21920
AT1G01080	AT5G46580
AT1G01080	AT2G31890
AT1G01080	AT3G20230
AT1G01080	AT4G17560
AT1G01090	AT3G25960
AT1G01090	AT3G13450
AT1G01090	AT3G25860
AT1G01090	AT4G15530
AT1G01090	AT3G52200
AT1G01090	AT4G17260
AT1G01090	AT3G06483
AT1G01090	AT1G54220
AT1G01090	AT3G15020
AT1G01090	AT3G13930
AT1G01090	AT1G30120
AT1G01090	AT5G50850
AT1G01090	AT5G63680
AT1G01090	AT1G24180
AT1G01090	AT5G06580
AT1G01090	AT3G16950
AT1G01090	AT2G36580
AT1G01090	AT2G30200
AT1G01090	AT3G22960
AT1G01090	AT3G04050
AT1G01090	AT5G52920
AT1G01090	AT2G34590
AT1G01090	AT5G36880
AT1G01090	AT4G26390
AT1G01090	AT1G48030
AT1G01090	AT1G53240
AT1G01090	AT5G42740
AT1G01090	AT3G55650
AT1G01090	AT3G49160
AT1G01090	AT4G16155
AT1G01090	AT3G17240
AT1G01090	AT1G59900
AT1G01090	AT2G24270
AT1G01090	AT1G34430
AT1G01090	AT1G55510
AT1G01090	AT3G55810
AT1G01090	AT3G52990
AT1G01090	AT4G24620
AT1G01100	AT2G36170
AT1G01100	AT1G15930
AT1G01100	AT3G16080
AT1G01100	AT3G10090
AT1G01100	ATMG01270
AT1G01100	AT1G27400
AT1G01100	AT5G09500
AT1G01100	AT4G20980
AT1G01100	AT3G05540
AT1G01100	AT1G49015
AT1G01100	AT5G56710
AT1G01100	AT3G55750
AT1G01100	AT3G02080
AT1G01100	AT3G09500
AT1G01100	AT2G19720
AT1G01100	AT1G74270
AT1G01100	AT5G46160
AT1G01100	AT1G33140
AT1G01100	AT5G44200
AT1G01100	AT5G37475
AT1G01100	AT3G14600
AT1G01100	AT1G48830
AT1G01100	AT1G04270
AT1G01100	AT1G77940
AT1G01100	AT1G17880
AT1G01100	AT5G20290
AT1G01100	AT4G29390
AT1G01100	AT1G15250
AT1G01100	AT1G29970
AT1G01100	AT2G19730
AT1G01100	AT1G71770
AT1G01100	AT1G57860
AT1G01100	AT1G53930
AT1G01100	AT2G45710
AT1G01100	AT1G18080
AT1G01100	AT1G02780
AT1G01100	AT1G67680
AT1G01100	AT3G49910
AT1G01100	AT3G58700
AT1G01100	AT2G21580
AT1G01100	AT2G05220
AT1G01100	AT2G18110
AT1G01100	AT1G80750
AT1G01100	AT1G28260
AT1G01100	ATCG00380
AT1G01100	AT3G55170
AT1G01100	AT1G17560
AT1G01100	AT2G27530
AT1G01100	AT5G57290
AT1G01100	AT5G25780
AT1G01100	AT5G24510
AT1G01100	AT3G53870
AT1G01100	AT5G09510
AT1G01100	AT2G17360
AT1G01100	AT2G19740
AT1G01100	AT3G48960
AT1G01100	AT3G52590
AT1G01100	AT1G02140
AT1G01100	AT5G15610
AT1G01100	AT3G09630
AT1G01100	AT3G05590
AT1G01100	AT3G62250
AT1G01100	AT4G25890
AT1G01100	AT5G65220
AT1G01100	AT3G06680
AT1G01100	ATCG01240
AT1G01100	AT1G51690
AT1G01100	AT5G27700
AT1G01100	AT4G02230
AT1G01100	AT1G29965
AT1G01100	AT3G19760
AT1G01100	AT5G59850
AT1G01100	AT1G51380
AT1G01100	AT5G40040
AT1G01100	AT1G48160
AT1G01100	AT2G39590
AT1G01100	AT2G36660
AT1G01100	AT4G00810
AT1G01100	AT4G31985
AT1G01100	AT1G22760
AT1G01100	AT5G43640
AT1G01100	AT4G36130
AT1G01100	AT5G63070
AT1G01100	AT5G58420
AT1G01100	AT2G47110
AT1G01100	AT1G17720
AT1G01100	AT5G39740
AT1G01100	AT5G59240
AT1G01100	AT4G18100
AT1G01100	AT3G11250
AT1G01100	AT5G03850
AT1G01100	AT3G25800
AT1G01100	ATCG00840
AT1G01100	AT1G07770
AT1G01100	AT1G09690
AT1G01100	AT5G28060
AT1G01100	AT2G42740
AT1G01100	AT3G12915
AT1G01100	AT1G72370
AT1G01100	AT1G76810
AT1G01100	AT1G77932
AT1G01100	AT1G34140
AT1G01100	AT4G10450
AT1G01100	AT1G57720
AT1G01100	AT1G13950
AT1G01100	AT5G09490
AT1G01100	AT5G60670
AT1G01100	AT4G34555
AT1G01100	AT2G19750
AT1G01100	AT3G63490
AT1G01100	AT3G48930
AT1G01100	AT2G09990
AT1G01100	AT2G40010
AT1G01100	AT3G18130
AT1G01100	AT2G47610
AT1G01100	AT1G74050
AT1G01100	AT2G44860
AT1G01100	AT4G26230
AT1G01100	AT5G06000
AT1G01100	AT4G14320
AT1G01100	AT4G16720
AT1G01100	AT1G02830
AT1G01100	AT3G56150
AT1G01100	AT2G13540
AT1G01100	AT3G60245
AT1G01100	AT5G06360
AT1G01100	AT5G10360
AT1G01100	AT2G20450
AT1G01100	AT2G25210
AT1G01100	AT1G36240
AT1G01100	AT1G56070
AT1G01100	AT1G14320
AT1G01100	AT3G11400
AT1G01100	AT2G04520
AT1G01100	AT1G58983
AT1G01100	AT3G09200
AT1G01100	AT1G33980
AT1G01100	AT4G15000
AT1G01100	AT3G02190
